INFO |09:54:34{scheduling-1}  55-Carregando mapa de conversas...
ERROR|09:54:34{scheduling-1}  68-Erro ao carregar mapa de conversas. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |09:54:34{scheduling-1}  69-Criando mapa vazio. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:03:23{scheduling-1}  55-Carregando mapa de conversas...
ERROR|10:03:23{scheduling-1}  68-Erro ao carregar mapa de conversas. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:03:23{scheduling-1}  69-Criando mapa vazio. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:05:10{scheduling-1}  55-Carregando mapa de conversas...
ERROR|10:05:10{scheduling-1}  68-Erro ao carregar mapa de conversas. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:05:10{scheduling-1}  69-Criando mapa vazio. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:07:44{scheduling-1}  55-Carregando mapa de conversas...
ERROR|10:07:44{scheduling-1}  68-Erro ao carregar mapa de conversas. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:07:44{scheduling-1}  69-Criando mapa vazio. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:12:37{scheduling-1}  55-Carregando mapa de conversas...
ERROR|10:12:37{scheduling-1}  68-Erro ao carregar mapa de conversas. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:12:37{scheduling-1}  69-Criando mapa vazio. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:15:03{scheduling-1}  55-Carregando mapa de conversas...
ERROR|10:15:03{scheduling-1}  68-Erro ao carregar mapa de conversas. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:15:03{scheduling-1}  69-Criando mapa vazio. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:15:46{scheduling-1}  55-Carregando mapa de conversas...
ERROR|10:15:46{scheduling-1}  68-Erro ao carregar mapa de conversas. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:15:46{scheduling-1}  69-Criando mapa vazio. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:18:20{scheduling-1}  55-Carregando mapa de conversas...
ERROR|10:18:20{scheduling-1}  68-Erro ao carregar mapa de conversas. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:18:20{scheduling-1}  69-Criando mapa vazio. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:20:28{scheduling-1}  55-Carregando mapa de conversas...
ERROR|10:20:28{scheduling-1}  68-Erro ao carregar mapa de conversas. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:20:28{scheduling-1}  69-Criando mapa vazio. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:23:53{scheduling-1}  55-Carregando mapa de conversas...
ERROR|10:23:53{scheduling-1}  68-Erro ao carregar mapa de conversas. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
